qiymet,otaqlar,sahe,mertebe,erazi,sheher,gun ve vaxt,parsed_at
1 400 000,5 otaqlı,280 m²,10/12 mərtəbə,Nizami m.,Bakı,bugün 13:35,2026-07-15 13:38:31.143518
250 614,2 otaqlı,81.9 m²,4/14 mərtəbə,Sea Breeze q.,Bakı,bugün 13:35,2026-07-15 13:38:31.143777
180 /gün,4 otaqlı,108 m²,,İsmayıllı,İsmayıllı,bugün 13:33,2026-07-15 13:38:31.144067
275 000,5 otaqlı,275 m²,,Albalılıq q.,Bakı,bugün 13:33,2026-07-15 13:38:31.144381
4 500 /ay,240 m²,,,Ağ şəhər q.,Bakı,bugün 13:31,2026-07-15 13:38:31.144641
495 000,4 otaqlı,141 m²,2/2 mərtəbə,Nizami m.,Bakı,bugün 13:31,2026-07-15 13:38:31.144918
500 /gün,6 otaqlı,700 m²,,Nardaran q.,Bakı,bugün 13:31,2026-07-15 13:38:31.145252
309 468,2 otaqlı,88.8 m²,8/24 mərtəbə,Nardaran q.,Bakı,bugün 13:30,2026-07-15 13:38:31.145558
340 000,12 sot,,,Şüvəlan q.,Bakı,bugün 13:30,2026-07-15 13:38:31.145844
360 000,2 otaqlı,65 m²,2/8 mərtəbə,Sea Breeze q.,Bakı,bugün 13:30,2026-07-15 13:38:31.146323
225 000,3 otaqlı,65 m²,2/3 mərtəbə,Nəsimi r.,Bakı,bugün 13:30,2026-07-15 13:38:31.146669
280 000,4 otaqlı,148.5 m²,1/6 mərtəbə,Həzi Aslanov m.,Bakı,bugün 13:29,2026-07-15 13:38:31.146956
4 500 /ay,200 m²,,,Gənclik m.,Bakı,bugün 13:28,2026-07-15 13:38:31.147245
825 000,3 otaqlı,135 m²,4/5 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:38:31.147535
360 443,2 otaqlı,77.1 m²,1/9 mərtəbə,Sea Breeze q.,Bakı,bugün 13:28,2026-07-15 13:38:31.147824
670 000,200 m²,,,İnşaatçılar m.,Bakı,bugün 13:27,2026-07-15 13:38:31.148113
187 500,2 otaqlı,55 m²,3/3 mərtəbə,Sahil m.,Bakı,bugün 13:27,2026-07-15 13:38:31.148383
150 /gün,3 otaqlı,110 m²,,Mərdəkan q.,Bakı,bugün 13:26,2026-07-15 13:38:31.148721
800 /ay,2 otaqlı,58 m²,11/17 mərtəbə,Gənclik m.,Bakı,bugün 13:24,2026-07-15 13:38:31.149025
520 000,4 otaqlı,300 m²,,Mərdəkan q.,Bakı,bugün 13:23,2026-07-15 13:38:31.149306
175 000,36.5 m²,,,Abşeron r.,Bakı,bugün 13:37,2026-07-15 13:38:36.175431
205 000,40 m²,,,Xırdalan,Xırdalan,bugün 13:36,2026-07-15 13:38:36.175953
